id,node_type,leiden_comm
810dc922cb3f0bd06a743f6f9fa8c0f158ed529b,reference,10
cc28ebbd867320efb252073f654c993a82fa2b62,reference,30
e5c7f7b747cc285e2fd89edbc457bc8c339934d4,reference,10
e1a083f8a8faa6b86a381c4a76fc5f4d16308bb5,reference,31
c9dbdae8146b9f97e254f5d26fd6efde96eaa703,reference,3
81c3853bb76cda671853b32b9c13f649a5b65a05,reference,23
5938abafd61881f6b23a2ba318d2d3d0327402c0,reference,5
db633c6b1c286c0386f0078d8a2e6224e03a6227,reference,22
da6e404d8911b0e5785019a79dc8607e0b313dc4,reference,13
f79caa22b7e7d08d2824f9bd272554e2fd94e0ed,reference,15
cce886854084ecfec8badc26f275fabfe69176be,reference,0
d33713b55f6e79270a529cdcce4843c70a051f83,reference,18
06d8562831c32844285a691c5250d04726df3c61,reference,30
8fd282cf9dfd3c9a7483a6b8b69c8259b53aaee8,reference,10
b9ffb9ccc000ccc5b74d1e9eaeafbcd5fe86e78d,reference,11
0fe2636446cd686830da3d971b31a004d6094b3c,reference,27
1aa9c0045f1fe8c79cce03c7c14ef4b4643a21f8,reference,7
3cc2f69951cd24fe61be4cf32d62afbac297bc2b,reference,20
7e32aac43e9f1df49e116add03327ee6f365dbf3,reference,15
ee802ccb7fc3a322b824310ae6f29fc6a1e4314b,reference,5
36fd9ecfeb43671819df33bc1fe1e3743c9ed2a8,reference,18
83e7654d545fbbaaf2328df365a781fb67b841b4,reference,9
9004924824cc0b1c840bcc91ba79475882623790,reference,21
38fe8f324d2162e63a967a9ac6648974fc4c66f3,reference,27
2133d4d7410de5385b577698bd7dbccad41b5fdc,reference,6
1386eba753466911aa586a0d672f3990c58a54da,reference,13
ebf9ae42b325183baeaffeda1775632eea669218,reference,30
5c13f469d6c4c3deb92077c1aa4956e3195b126d,reference,15
0710f4d42f29bae38bb413097f92a8ac6e04227f,reference,5
a9a4a12900d0ac1063505bb28d5e0180d78a39a0,reference,9
14b65a86c82e38fce0eb3506e0d4084ad5cdb583,reference,8
5d49f576afe0135d69ff2da91a9839b7081e4f2a,reference,15
f7ad35a51c59ff24fcd2d7f438a96bbfb922bde5,reference,1
df4e398531193e6a3f9f1f3dbdf51c8b4569bbef,reference,19
04e4ef19431f76d6fa41f22933e8fc444e564dc5,reference,5
bfe83b9e53dfb4a9f8e0bfdc8c008783f8ef49ea,reference,5
170c97c7215f42edfb20c2248f954879e91ef86e,reference,3
e80eb120b5798558ca86ac7e6132737d685a9a25,reference,0
d6954c43aa1ca197319c45d3988bc8fcec3de976,reference,27
5ef88560c5961c69e6da2a2e0a0ad57a3bff22e2,reference,5
598a2ee223e2949c3b28389e922c1892b4717d2a,reference,23
6d7b8a478801bd9d21df82d5f33ae6eced90da5e,reference,5
8336cd42193a90acfc828218613974200aaac418,reference,15
285f38de28b79df0bb64a859ab0d79048e860f30,reference,5
63009f684c261015d90da167a46f59d5ed4f3562,reference,9
23a783e0f9b1c0f06364cd0806aa47035b738afa,reference,13
fa2d43c4332622290aeb2691033c37da60ae49a2,reference,10
77d956cdab4508d569ae5741549b78e715fd0749,reference,15
c5215a3484a3a502a986de3766d2bf4d2bfed32f,reference,21
32bb95963b7d04421052a72bda6494154774100b,reference,23
998577ea3c393330e4ecc563d5e4026cf9e49a17,reference,22
ec4eba83f6b3266d9ae7cabb2b2cb1518f727edc,reference,7
49b499598a8864eee55ab264fc16a5bf8d2f87ef,reference,29
